 MATERIAL	,	VMSAP	,	CATEGORIA	,	VMOrg	,	DESCRIPCION 	,	MARCA CAT.	,	NUMERO PLU
558616	/	10RO19	/	EXTERIOR PROTECCION	/	VACIO	/	VESTIDO CORTO	/	VACIO	/	VACIO
558616	/	12RO19	/	ACCESORIOS PROTECCION	/	VACIO	/	VESTIDO CORTO	/	VACIO	/	VACIO
558616	/	14RO19	/	DEPORTIVO PROTECCION	/	VACIO	/	VESTIDO CORTO	/	VACIO	/	VACIO
558616	/	2 RO19	/	EXTERIOR PROTECCION	/	VACIO	/	VESTIDO CORTO	/	VACIO	/	VACIO
558616	/	4 RO19	/	EXTERIOR PROTECCION	/	VACIO	/	VESTIDO CORTO	/	VACIO	/	VACIO
558616	/	6 RO19	/	EXTERIOR PROTECCION	/	VACIO	/	VESTIDO CORTO	/	VACIO	/	VACIO
558616	/	8 RO19	/	EXTERIOR	/	VACIO	/	VESTIDO CORTO	/	VACIO	/	VACIO
558684	/	L   ST00	/	EXTERIOR	/	VACIO	/	VESTIDO LARGO	/	VACIO	/	VACIO
558684	/	M   ST00	/	EXTERIOR	/	VACIO	/	VESTIDO LARGO	/	VACIO	/	VACIO
558684	/	S   ST00	/	EXTERIOR	/	VACIO	/	VESTIDO LARGO	/	VACIO	/	VACIO
558684	/	XL  ST00	/	EXTERIOR	/	VACIO	/	VESTIDO LARGO	/	VACIO	/	VACIO
558684	/	XS  ST00	/	EXTERIOR	/	VACIO	/	VESTIDO LARGO	/	VACIO	/	VACIO
